Name,Gender,Language,Categories,Personalities,Speech Sample
Keomany,Female,Lao,General,"Friendly, Positive",mp3/Lao/lo-LA-KeomanyNeural.mp3
Everita,Female,Latvian,General,"Friendly, Positive",mp3/Latvian/lv-LV-EveritaNeural.mp3
Nils,Male,Latvian,General,"Friendly, Positive",mp3/Latvian/lv-LV-NilsNeural.mp3
Leonas,Male,Lithuanian,General,"Friendly, Positive",mp3/Lithuanian/lt-LT-LeonasNeural.mp3
Ona,Female,Lithuanian,General,"Friendly, Positive",mp3/Lithuanian/lt-LT-OnaNeural.mp3
Aleksandar,Male,Macedonian,General,"Friendly, Positive",mp3/Macedonian/mk-MK-AleksandarNeural.mp3
Marija,Female,Macedonian,General,"Friendly, Positive",mp3/Macedonian/mk-MK-MarijaNeural.mp3
Osman,Male,Malay,General,"Friendly, Positive",mp3/Malay/ms-MY-OsmanNeural.mp3
Yasmin,Female,Malay,General,"Friendly, Positive",mp3/Malay/ms-MY-YasminNeural.mp3
Midhun,Male,Malayalam,General,"Friendly, Positive",mp3/Malayalam/ml-IN-MidhunNeural.mp3
Sobhana,Female,Malayalam,General,"Friendly, Positive",mp3/Malayalam/ml-IN-SobhanaNeural.mp3
Grace,Female,Maltese,General,"Friendly, Positive",mp3/Maltese/mt-MT-GraceNeural.mp3
Joseph,Male,Maltese,General,"Friendly, Positive",mp3/Maltese/mt-MT-JosephNeural.mp3
Aarohi,Female,Marathi,General,"Friendly, Positive",mp3/Marathi/mr-IN-AarohiNeural.mp3
Manohar,Male,Marathi,General,"Friendly, Positive",mp3/Marathi/mr-IN-ManoharNeural.mp3
Bataa,Male,Mongolian,General,"Friendly, Positive",mp3/Mongolian/mn-MN-BataaNeural.mp3
Yesui,Female,Mongolian,General,"Friendly, Positive",mp3/Mongolian/mn-MN-YesuiNeural.mp3
Hemkala,Female,Nepali,General,"Friendly, Positive",mp3/Nepali/ne-NP-HemkalaNeural.mp3
Sagar,Male,Nepali,General,"Friendly, Positive",mp3/Nepali/ne-NP-SagarNeural.mp3
Finn,Male,Norwegian,General,"Friendly, Positive",mp3/Norwegian/nb-NO-FinnNeural.mp3
Pernille,Female,Norwegian,General,"Friendly, Positive",mp3/Norwegian/nb-NO-PernilleNeural.mp3
GulNawaz,Male,Pashto,General,"Friendly, Positive",mp3/Pashto/ps-AF-GulNawazNeural.mp3
Latifa,Female,Pashto,General,"Friendly, Positive",mp3/Pashto/ps-AF-LatifaNeural.mp3
Dilara,Female,Persian,General,"Friendly, Positive",mp3/Persian/fa-IR-DilaraNeural.mp3
Farid,Male,Persian,General,"Friendly, Positive",mp3/Persian/fa-IR-FaridNeural.mp3
Marek,Male,Polish,General,"Friendly, Positive",mp3/Polish/pl-PL-MarekNeural.mp3
Zofia,Female,Polish,General,"Friendly, Positive",mp3/Polish/pl-PL-ZofiaNeural.mp3
ThalitaMultilingual,Female,Portuguese,General,"Friendly, Positive",mp3/Portuguese/pt-BR-ThalitaMultilingualNeural.mp3
Antonio,Male,Portuguese,General,"Friendly, Positive",mp3/Portuguese/pt-BR-AntonioNeural.mp3
Francisca,Female,Portuguese,General,"Friendly, Positive",mp3/Portuguese/pt-BR-FranciscaNeural.mp3
Duarte,Male,Portuguese,General,"Friendly, Positive",mp3/Portuguese/pt-PT-DuarteNeural.mp3
Raquel,Female,Portuguese,General,"Friendly, Positive",mp3/Portuguese/pt-PT-RaquelNeural.mp3
Alina,Female,Romanian,General,"Friendly, Positive",mp3/Romanian/ro-RO-AlinaNeural.mp3
Emil,Male,Romanian,General,"Friendly, Positive",mp3/Romanian/ro-RO-EmilNeural.mp3
Dmitry,Male,Russian,General,"Friendly, Positive",mp3/Russian/ru-RU-DmitryNeural.mp3
Svetlana,Female,Russian,General,"Friendly, Positive",mp3/Russian/ru-RU-SvetlanaNeural.mp3
Nicholas,Male,Serbian,General,"Friendly, Positive",mp3/Serbian/sr-RS-NicholasNeural.mp3
Sophie,Female,Serbian,General,"Friendly, Positive",mp3/Serbian/sr-RS-SophieNeural.mp3
Sameera,Male,Sinhala,General,"Friendly, Positive",mp3/Sinhala/si-LK-SameeraNeural.mp3
Thilini,Female,Sinhala,General,"Friendly, Positive",mp3/Sinhala/si-LK-ThiliniNeural.mp3
Lukas,Male,Slovak,General,"Friendly, Positive",mp3/Slovak/sk-SK-LukasNeural.mp3
Viktoria,Female,Slovak,General,"Friendly, Positive",mp3/Slovak/sk-SK-ViktoriaNeural.mp3
Petra,Female,Slovenian,General,"Friendly, Positive",mp3/Slovenian/sl-SI-PetraNeural.mp3
Rok,Male,Slovenian,General,"Friendly, Positive",mp3/Slovenian/sl-SI-RokNeural.mp3
Muuse,Male,Somali,General,"Friendly, Positive",mp3/Somali/so-SO-MuuseNeural.mp3
Ubax,Female,Somali,General,"Friendly, Positive",mp3/Somali/so-SO-UbaxNeural.mp3
Elena,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-AR-ElenaNeural.mp3
Tomas,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-AR-TomasNeural.mp3
Marcelo,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-BO-MarceloNeural.mp3
Sofia,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-BO-SofiaNeural.mp3
Catalina,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-CL-CatalinaNeural.mp3
Lorenzo,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-CL-LorenzoNeural.mp3
Gonzalo,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-CO-GonzaloNeural.mp3
Salome,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-CO-SalomeNeural.mp3
Ximena,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-ES-XimenaNeural.mp3
Juan,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-CR-JuanNeural.mp3
Maria,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-CR-MariaNeural.mp3
Belkys,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-CU-BelkysNeural.mp3
Manuel,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-CU-ManuelNeural.mp3
Emilio,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-DO-EmilioNeural.mp3
Ramona,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-DO-RamonaNeural.mp3
Andrea,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-EC-AndreaNeural.mp3
Luis,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-EC-LuisNeural.mp3
Lorena,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-SV-LorenaNeural.mp3
Rodrigo,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-SV-RodrigoNeural.mp3
Javier,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-GQ-JavierNeural.mp3
Teresa,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-GQ-TeresaNeural.mp3
Andres,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-GT-AndresNeural.mp3
Marta,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-GT-MartaNeural.mp3
Carlos,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-HN-CarlosNeural.mp3
Karla,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-HN-KarlaNeural.mp3
Dalia,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-MX-DaliaNeural.mp3
Jorge,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-MX-JorgeNeural.mp3
Federico,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-NI-FedericoNeural.mp3
Yolanda,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-NI-YolandaNeural.mp3
Margarita,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-PA-MargaritaNeural.mp3
Roberto,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-PA-RobertoNeural.mp3
Mario,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-PY-MarioNeural.mp3
Tania,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-PY-TaniaNeural.mp3
Alex,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-PE-AlexNeural.mp3
Camila,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-PE-CamilaNeural.mp3
Karina,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-PR-KarinaNeural.mp3
Victor,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-PR-VictorNeural.mp3
Alvaro,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-ES-AlvaroNeural.mp3
Elvira,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-ES-ElviraNeural.mp3
Alonso,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-US-AlonsoNeural.mp3
